wbs_code,depth,name,spec,unit,qty,exec_rate,exec_cost,layer,prod_rate,est_days,wbs_path
1.1.1.1.10.8,6,양수비,,월,11.0,1000000.0,11000000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-11. 부대공사 > 양수비
1.1.1.1.10.9,6,안전난간대,,M,361.0,45000.0,16245000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-11. 부대공사 > 안전난간대
1.1.1.1.10.10,6,안전계단,,EA,2.0,10000000.0,20000000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-11. 부대공사 > 안전계단
1.1.1.1.10.11,6,세륜기설치 및 관리,세륜기 지급,대,3.0,23000000.0,69000000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-11. 부대공사 > 세륜기설치 및 관리
1.1.1.1.10.12,6,축중기,,월,18.0,500000.0,9000000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-11. 부대공사 > 축중기
1.1.1.1.10.13,6,AIR 방음벽,,EA,6.0,3500000.0,21000000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-11. 부대공사 > AIR 방음벽
1.1.1.1.10.14,6,영구배수공사,,M2,3120.0,7000.0,21840000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-11. 부대공사 > 영구배수공사
1.1.1.1.10.15,6,평판재하시험,일반시험 기준,개소,4.0,850000.0,3400000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-11. 부대공사 > 평판재하시험
1.1.1.1.10.16,6,복공판설치 해체,,M2,1045.0,180000.0,188100000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-11. 부대공사 > 복공판설치 해체
1.1.1.1.10.17,6,복공주보 손료,,TON,84.0,560000.0,47040000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-11. 부대공사 > 복공주보 손료
1.1.1.1.10.18,6,복공판 손료,,EA,733.0,160000.0,117280000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-11. 부대공사 > 복공판 손료
1.1.1.1.10.19,6,살수차 운행비,,월,18.0,6500000.0,117000000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-11. 부대공사 > 살수차 운행비
1.1.1.1.11,5,1-1-12. 주요 자재대,,,0.0,0.0,1283510014.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대
1.1.1.1.11.1,6,H형강/사장,H-300x300x10x15,TON,346.185,1250000.0,432731250.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > H형강/사장
1.1.1.1.11.2,6,H형강/손료(12개월),H-300x300x9x14,TON,18.799,670000.0,12595330.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > H형강/손료(12개월)
1.1.1.1.11.3,6,H형강/손료(12개월),H-300x300x10x15,TON,162.629,670000.0,108961430.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > H형강/손료(12개월)
1.1.1.1.11.4,6,H형강/손료(12개월),H-440x300x11x18,TON,181.001,420000.0,76020420.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > H형강/손료(12개월)
1.1.1.1.11.5,6,ㄷ형강/손료(12개월),ㄷ-380x100x10.5x16,TON,102.588,440000.0,45138720.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > ㄷ형강/손료(12개월)
1.1.1.1.11.6,6,L형강/손료(12개월),L-90x90x10,TON,23.21,1200000.0,27852000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > L형강/손료(12개월)
1.1.1.1.11.7,6,합성버팀보/손료(12개월),ㅁ-450x450x6 (0.2M),SET,49.0,75000.0,3675000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > 합성버팀보/손료(12개월)
1.1.1.1.11.8,6,합성버팀보/손료(12개월),ㅁ-450x450x6 (0.5M),SET,62.0,92000.0,5704000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > 합성버팀보/손료(12개월)
1.1.1.1.11.9,6,합성버팀보/손료(12개월),ㅁ-450x450x6 (1.0M),SET,55.0,125000.0,6875000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > 합성버팀보/손료(12개월)
1.1.1.1.11.10,6,합성버팀보/손료(12개월),ㅁ-450x450x6 (2.0M),SET,51.0,159000.0,8109000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > 합성버팀보/손료(12개월)
1.1.1.1.11.11,6,합성버팀보/손료(12개월),ㅁ-450x450x6 (3.0M),SET,63.0,209000.0,13167000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > 합성버팀보/손료(12개월)
1.1.1.1.11.12,6,합성버팀보/손료(12개월),ㅁ-450x450x6 (6.0M),SET,54.0,344000.0,18576000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > 합성버팀보/손료(12개월)
1.1.1.1.11.13,6,합성버팀보/손료(12개월),ㅁ-450x450x6 (9.0M),SET,9.0,479000.0,4311000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > 합성버팀보/손료(12개월)
1.1.1.1.11.14,6,합성버팀보/손료(12개월),ㅁ-450x450x6 (10.0M),SET,295.0,520000.0,153400000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > 합성버팀보/손료(12개월)
1.1.1.1.11.15,6,합성버팀보 JACK/손료(12개월),,SET,198.0,168000.0,33264000.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > 합성버팀보 JACK/손료(12개월)
1.1.1.1.11.16,6,합성버팀보 손료 보정,(9개월+2개월서비스)→16개월,SET,836.0,322424.0,269546464.0,,,,직접공사비 > 토목공사 > 토공사 > 1-1. 토목 및 흙막이공사 > 1-1-12. 주요 자재대 > 합성버팀보 손료 보정
